year,,year count,,air plane,number cuush plane,Operator,count Operator,Country,Country count,,Crash cause,Crash cause count,Flight phase,Flight phase count,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junkers F.24,2,Kenmore Air,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junkers G.38,2,Kenya Airways,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junkers JU.46,2,Ketchikan Air Service,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junkers K.16,2,Komi Avia,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kawasaki Ki-56,2,Lambair - Lamb Airways,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keystone LB-7,2,Laurentide Air Service,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Koolhoven FK.50,2,Lineas A¨¦reas Unidas,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lat¨¦co¨¨re 21bis,2,Lineas Interamericana A¨¦rea,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Levasseur PL.8,2,Linhas A¨¦reas de Mo?ambique - LAM,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lior¨¦-et-Olivier LeO 206,2,Lockheed Aircraft Corporation,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lior¨¦-et-Olivier LEO H-190,2,London Flying Club,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lior¨¦-et-Olivier LeO H-198,2,Mackenzie Air Service,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lior¨¦-et-Olivier LeO H-242,2,Malert - Magyar-Szoviet Legiforgalmi Tarseaag,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lockheed 2 Vega,2,Mercury Aviation,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lockheed 3 Air Express,2,Milne Bay Air - MBA,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lockheed C-37 Electra,2,MK Airlines,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Macchi M.9,2,Mohawk Airlines,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Martinsyde Type A,2,NASA - National Aeronautics %26 Space Administration,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,McDonnell Douglas MD-87,2,Nav Air Charter,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Messerschmitt M.18,2,Norcanair - North Canada Air,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mitsubishi G4M,2,Norsk Lufttrafik,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Myasishchev 3M,2,North Central Airlines,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nakajima AT-2,2,North Coast Air Services,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naval Aircraft Factory PBN-1 Nomad,2,Northern Air Transport,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nieuport-Delage NiD-390/391,2,Nottingham Aero Club,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nieuport-Delage NiD-641,2,Orient Airways,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nord 1402 Noroit,2,Palm Beach Aviation,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pander EC-60,2,Panorama Air Tour,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Percival D.3 Gull Six,2,Petropavlosvk-Khamchatsky Air Enterprise,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Percival Q.6 Petrel,2,Phoenix Air - USA,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piaggio P.108,2,Pilgrim Airlines,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piaggio P.180 Avanti,2,Polish Navy - Lotnictwa Marynarki Wojenna,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piaggio PD-808,2,Precision Air Services - Precisionair,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pitcairn PA-7 Mailwing,2,Prinair - Puerto Rico International Airlines,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polikarpov U-1,2,Private Belgian,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potez 32,2,Private Indian,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potez 7,2,Private Japanese,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rohrbach Ro X Romar,2,Promech Air,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rohrbach Ro.VIII Roland II,2,Prospec,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Aircraft Factory B.E.2,2,Provincial Airlines,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Savoia S.13,2,Republic of Korea Navy,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Savoia S.9,2,Rico Linhas A¨¦reas - Rondonia Importa?ao e Comercio,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Short S.17 Kent,2,Rico Taxi A¨¦reo - Rondonia Importa?ao e Comercio,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Short S.26 G-Class,2,Rijksluchtvaartschool - RLS,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Short S.7 Mussel,2,Rio-Sul Servi?os A¨¦reos Regionais,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Short S.8 Calcutta,2,Romanian Air Force - Fortele Aeriene Romane,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Short SA.6 Sealand,2,Royal Jordanian Airlines - ALIA,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIAI-Marchetti SF.600TP Canguro,2,Royal Moroccan Air Force - Forces Royales Air,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNCASE SE.2010 Armagnac,2,Sadia Transportes A¨¦reos,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sopwith Gnu,2,SAESA - Servicios A¨¦reos Especiales,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spartan Executive,2,SAETA - Sociedad Anonima Ecuatoriana de Transportes A¨¦reos,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPCA M¨¦t¨¦ore 63,2,Sandinist Air Force - Fuerza A¨¦rea Sandinista,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stinson SR-7 Reliant,2,Saturn Airways,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Travel Air 5000,2,SAVCO - Servicios A¨¦reos Virgen de Copacabana,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tupolev ANT-20,2,Seair Seaplanes - Seair Services,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tupolev TU-144,2,Servicio A¨¦reo de Transportes Comerciales - SATCO,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vickers 271 Wellington,2,Servicio A¨¦reo Panini,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vickers 406 Wellington II,2,Sinarmas,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vickers 456 Warwick I,2,Skyway Air Cargo,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vickers 474 Warwick V,2,Skyways - USA,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vickers Victoria,2,Slov-Air,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vought-Sikorsky VS-44,2,Sobelair,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waco,2,Soci¨¦t¨¦ Indochinoise de Transports A¨¦riens - SITA,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waco CUC,2,SOREM - Societ¨¤ Ricerche Esperienze Meteorologiche,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Westland Wessex,2,Southern Cross Aviation,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wild WT-S,2,Springdale Air Service,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACAZ T.1,1,Stout Air Services,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aero A.23,1,Thompson Aeronautical Corporation,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aero Spacelines 377MGT Mini Guppy,1,Tracep,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeromarine 75,1,Transa¨¦reos Frimo - Frigorifico Movima,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A¨¦rospatiale-BAC Concorde,1,Transport A¨¦rien Transr¨¦gional - TAT,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Airbus A340-300,1,Transportes A¨¦reos de Nayarit,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Airbus A400M,1,Transportes A¨¦reos Ejecutivos - TAESA,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Albatros L58,1,Transportes A¨¦reos Meridionais,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Albatros L73,1,Transportes A¨¦reos Mexicanos - TAMSA,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aleksandrov-Kalinin AK-1,1,Transportes A¨¦reos Orientales - TAO,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alekseev KM,1,Transportes Colombiana de Aviacion - TAVINA,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angel Aircraft Corporation Model 44 Angel,1,Tupolev Industries - GKAP Tupolev OKB,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antonov,1,Turkish Navy - T¨¹rk Deniz Kuvvetleri,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antonov AN-3,1,Tyee Airlines,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antonov AN-74TK-300,1,Ukraine Air Alliance,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arado V1,1,Ulster Aviation,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armstrong Whitworth AW.15 Atalanta,1,United Arab Emirates - Abu Dhabi Amiri Flight,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armstrong Whitworth AW.27 Ensign,1,United States Airways,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlantic-Fokker TA-2,1,United States Government,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATR42-200,1,Unnamed operator,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATR42-600,1,UTAir,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avia 156,1,Vanair,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avro 555 Bison,1,Varney Air Transport - VAT,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avro 619 Five,1,Vayudoot,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avro 706 Ashton,1,Venezuelan Navy - Armada Venezolana,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avro RJ70,1,VIARCO - Vias A¨¦reas Colombianas,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Baade 152,1,Voyageur Airways,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAT F.K.26,1,West Australian Airways,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beechcraft SNB-1 Navigator,1,West Coast Air Services,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bellanca 31-40 Senior Pacemaker,1,West Coast Airlines,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beriev Be-200,1,Wilderness Airlines,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bernard 191,1,Winship Air Services,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bernard 197,1,World Air Freight,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blackburn B-2,1,World Airways,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bloch MB.120,1,World-Wide Airways,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boeing 737-100,1,Yeti Airlines,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boeing 747SP,1,Ababeel Aviation,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boeing 777-300,1,ACE Air Cargo Express,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boeing B-1,1,Active Aero Charter,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boeing C-73,1,AdamAir,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boeing KC-137 Stratoliner,1,Adastra Aviation,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bolkhovitinov DB-A,1,Aden Airways,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombardier Global 5000,1,Aero Coach Aviation International,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boulton & Paul P.64 Mailplane,1,Aero Cozumel,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breda-Zappata B.Z.308,1,Aero Manu,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breguet 284,1,Aero Taxi - USA,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breguet 390T,1,Aerocaribbean,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bristol 110,1,A¨¦roclub de Suisse,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bristol Type 25 Braemar II,1,Aerocon - Aero Comercial Oriente Norte,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buhl CA-5 AirSedan,1,Aerolift,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Burnelli UB-14,1,Aerolineas Argo,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bushmaster 2000,1,Aerolineas La Paz,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAMS 51,1,Aerolineas Nacionales - Costa Rica,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canadair CL-605 Challenger,1,Aeromarket Express,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canadair CL-66 Cosmopolitan,1,Aero-Nord Sweden,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANT 10,1,AeroPeru,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caproni Ca.101,1,Aeropol,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caproni Ca.33,1,A¨¦ropro,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caproni Ca.48,1,Aerotaca Colombia - Aerotaxi Casanare,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caproni Ca.60,1,Aerotransportes Entre Rios,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Casa C-207 Azor,1,Aerovias del Valle,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caudron C.23,1,Aerovias Las Minas,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caudron C.59,1,Agape Flights,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caudron C.74,1,Air Ambulance by Air Trek,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caudron C.81,1,Air Atlas,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Central Centaur IIA,1,Air Bagan,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cessna,1,Air Bleu,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cessna 525 Citation M2,1,Air Caribbean,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cessna 525 CitationJet CJ3,1,Air Charter Ltd London,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cessna 680 Citation Latitude,1,Air Charter Services,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chase XC-123 Avitruc,1,Air China,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cirrus Vision SF50,1,Air Continental,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comp Air CA-9,1,Air Flamenco,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comte AC-11,1,Air Inuit,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consolidated Fleetster 20A,1,Air Littoral,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consolidated-Vultee 28-5ACF,1,Air Madagascar,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Couzinet 27,1,Air Melanesi?,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Couzinet 33 Biarritz,1,Air Memphis,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRDA CANT 22,1,Air New Zealand,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Curtiss B-2 Condor,1,Air Niugini,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Curtiss Eagle,1,Air North - Canada,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Curtiss Lark,1,Air Nunavut,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Curtiss-Wright YC-76 Caravan,1,Air Outre Mer,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dewoitine D.332,1,Air Regional,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dewoitine D.333,1,Air Satellite,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dewoitine D.342,1,Air Services - Guyana,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dornier Do A Libelle I,1,Air Services of India,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dornier DO.12 Libelle,1,Air Taxi,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dornier Seastar CD.2,1,Air Transport - Belgium,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Douglas C-54 Skyraider,1,Air Transport International,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Douglas C-9A Nightingale,1,Airbus Industrie,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Douglas DC-1,1,Aircraft Facilities,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Douglas KC-10 Extender,1,Aircraft Ltd,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Douglas PD-1 Flying Boat,1,Air-Glaciers,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Embraer KC-390,1,Airlift International,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evangel 4500,1,Airlines PNG,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Excel Jet Sport Jet I,1,AirNet Systems,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fairchild 51,1,Airtran Airways,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fairey Long Range,1,Airwork - New Zealand,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Farman F.140 Super Goliath,1,Airwork East Africa,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Farman F.222,1,Airworks,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Farman F.30,1,Alaska Aeronautical Industries,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Farman F.301,1,Alfred Wegener Institute,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Farman F.305,1,Aloha Airlines,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Farman F.390,1,ANSETT-ANA,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Farman F.70,1,Aquila Airways,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Farman NC.223,1,Arkia Israeli Airlines,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Felixstowe F.4 Fury,1,Asiana Airlines,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focke-Wulf A.17,1,Astro Airways,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focke-Wulf F 19 Ente,1,Atlas Air,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fokker F18,1,Auckland Aero Club,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fokker F20,1,Australian Government,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fokker F32,1,Avex Air Transport,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fokker F36,1,Avialesookhrana,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fokker T-V,1,Aviastar Mandiri,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gavil¨¢n 358,1,Aviation Sans Fronti¨¨res - ASF,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General Aircraft Genairco,1,Bahamasair,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GippsAero GA10 Airvan,1,Baikal Airlines,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grigorovich P.L.1,1,Bar Harbor Airlines,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grob G180 SPn,1,Bard Air Freight,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grulich V.1,1,Bashkirian Airlines - Bashkirskie Avialinii,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gulfstream G150,1,BC Air Lines,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gulfstream G650,1,Benin Government,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gulfstream GV,1,Bharat Airways,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handley Page H.P.24 Hyderabad,1,BKS Air Transport,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handley Page H.P.27,1,Black Hills Aviation,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handley Page H.P.50 Heyford,1,Blue Airlines,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handley Page H.P.71 Halifax IX,1,Blue Wing Airlines,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handley Page H.P.82 Hermes V,1,Bodensee Aerolloyd,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handley Page W.8,1,Brain %26 Brown Airfreighters,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hansa Brandenburg C.1,1,Breguet Industries,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hansa Brandenburg W.33,1,British United Airways - BUA,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harbin SH-5 - Shuishang Hongzha 5,1,Buckeye Air Services,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harbin Yunsunji Y-11,1,California Air Charter - Cal Air Charter,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hawker 850XP,1,Calm Air International,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heinkel He.116,1,Cambrian Airways,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heinkel He.12,1,Canadian Vickers,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heinkel He.6,1,Caribair,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heston Phoenix I,1,Caribbean International Airways,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hiro H1H,1,Carolina Aircraft Corporation,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Honda HA-420 HondaJet,1,Castle Aviation,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hurel-Dubois HD.321,1,Catalina Airlines,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hurel-Dubois/Miles HDM.105 Aerovan,1,Central Airlines,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAI 1125 Astra,1,Central BC Airways,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ilyushin II-112,1,Central Mountain Air,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ilyushin II-22,1,Ceskoslovenska Letecka Spolecnost - CLS,3,,,,,,,,
